1479	cvg.input_method
1302	cvg.musical_game
516	cvg.musical_game_song
900	cvg.musical_game_song_relationship
428	cvg.video_game_soundtrack
1641	dataworld.attribution_namespace
1705	dataworld.attribution_template
2022	dataworld.data_project
1780	dataworld.data_project_type
1113	dataworld.data_provider
1559	dataworld.data_task
1277	dataworld.data_task_category
1818	dataworld.data_task_status
2025	dataworld.data_tool
1654	dataworld.do_not_merge_mediator
1410	dataworld.external
1330	dataworld.gardening_hint
1491	dataworld.gardening_task
996	dataworld.incompatible_types
406	dataworld.information_source
1035	dataworld.mass_data_load
86	dataworld.mass_data_operation
1354	dataworld.property_value_assignment
2053	dataworld.protected_namespace
51	dataworld.provenance
1933	dataworld.public_type_schema_change
1202	dataworld.software_tool
1892	dataworld.subgraph
2059	dataworld.type_project
1730	dataworld.type_projects
784	dataworld.user_reversion_operation
1981	digicams.camera_color_filter_array_type
1802	digicams.camera_compressed_format
1914	digicams.camera_digital_zoom_capability
741	digicams.camera_dimensions
1766	digicams.camera_format
1389	digicams.camera_image_ratio
1629	digicams.camera_image_stabilization
1588	digicams.camera_iso
728	digicams.camera_resolution
1517	digicams.camera_sensor_manufacturer
1182	digicams.camera_sensor_size
1982	digicams.camera_sensor_type
1817	digicams.camera_storage_type
1691	digicams.camera_uncompressed_format
485	digicams.camera_viewfinder_type
681	digicams.digital_camera
1516	digicams.digital_camera_manufacturer
1660	digicams.image_stabilization_type
565	dining.chef
453	dining.cuisine
494	dining.restaurant
939	dining.restaurant_chef_association
947	distilled_spirits.blended_spirit
1326	distilled_spirits.blended_spirit_style
669	distilled_spirits.distilled_spirit
1305	distilled_spirits.distilled_spirit_type
841	distilled_spirits.distillery
1718	distilled_spirits.fermentation_base
1594	distilled_spirits.infused_spirit
1109	distilled_spirits.infused_spirit_style
1856	distilled_spirits.spirit_aging
1593	distilled_spirits.spirit_blender
1563	distilled_spirits.spirit_bottler
1678	distilled_spirits.spirit_producing_region
113	education.academic
609	education.academic_institution
302	education.academic_post
979	education.academic_post_title
121	education.acceptance_rate
746	education.athletics_brand
206	education.department
600	education.dissertation
20	education.education
347	education.educational_degree
393	education.educational_institution
396	education.educational_institution_campus
259	education.field_of_study
493	education.fraternity_sorority
1273	education.fraternity_sorority_type
1097	education.gender_enrollment
825	education.grade_level
360	education.honorary_degree
840	education.honorary_degree_recipient
518	education.school
469	education.school_category
527	education.school_district
1144	education.school_magazine
803	education.school_mascot
1175	education.school_newspaper
1391	education.student_organization
571	education.student_radio_station
296	education.student_teacher_ratio
395	education.university
1188	education.university_system
2013	engineering.battery
764	engineering.battery_cell_type
1871	engineering.battery_shape_format
1462	engineering.battery_size
1884	engineering.battery_size_cell_variation
1644	engineering.channel_access_method
1949	engineering.electric_current_type
768	engineering.engine
701	engineering.engine_category
1707	engineering.engine_cooling_method
1767	engineering.engine_designer
1791	engineering.engine_energy_source
1807	engineering.fuel_delivery_method
1970	engineering.location_with_mains_power
1962	engineering.mains_power
1124	engineering.material
1715	engineering.material_composition
1434	engineering.piston_configuration
1870	engineering.piston_engine
1902	engineering.power_plug_standard
1633	engineering.power_plug_standard_type
767	engineering.reaction_engine
1203	engineering.signal_modulation_mode
1639	engineering.valvetrain_configuration
568	event.disaster
1623	event.disaster_affected_structure
1024	event.disaster_survivor
447	event.disaster_type
876	event.disaster_victim
1728	event.event_producer
1920	event.event_promoter
1067	event.presented_work
1832	event.produced_event
1930	event.promoted_event
961	event.public_speaker
654	event.public_speaking_event
226	event.speech_or_presentation
1353	event.speech_topic
888	event.type_of_public_presentation
866	exhibitions.exhibit
819	exhibitions.exhibition
1396	exhibitions.exhibition_curator
608	exhibitions.exhibition_producer
785	exhibitions.exhibition_run
606	exhibitions.exhibition_sponsor
515	exhibitions.exhibition_subject
607	exhibitions.exhibition_venue
786	exhibitions.type_of_exhibition
1313	fashion.clothing_size
1420	fashion.designer_label_association
1729	fashion.fashion_category
339	fashion.fashion_designer
1095	fashion.fashion_label
1753	fashion.fashion_week
1562	fashion.fiber
934	fashion.garment
1150	fashion.textile
1392	fashion.weave
1615	fictional_universe.calendar_system_directionality
1841	fictional_universe.character_gender
390	fictional_universe.character_occupation
514	fictional_universe.character_powers
585	fictional_universe.character_rank
167	fictional_universe.character_species
1131	fictional_universe.ethnicity_in_fiction
1261	fictional_universe.event_in_fiction
1390	fictional_universe.fictional_calendar_system
22	fictional_universe.fictional_character
457	fictional_universe.fictional_character_creator
1272	fictional_universe.fictional_creature
964	fictional_universe.fictional_date_time
655	fictional_universe.fictional_employer
