royalty.order_of_chivalry.category	royalty.order_of_chivalry_category.orders_in_this_category
sports.sports_team.location	sports.sports_team_location.teams
sports.sports_team.team_mascot	sports.mascot.team
tennis.tennis_tournament_championship.winner	tennis.tennis_tournament_champion.tennis_titles
american_football.football_game.rushing	american_football.game_rushing_statistics.game
astronomy.celestial_object_category.subcategory_of	astronomy.celestial_object_category.subcategories
business.product_theme.products	business.consumer_product.themes
education.educational_institution.campuses	education.educational_institution_campus.educational_institution
measurement_unit.unit_of_density.measurement_system	measurement_unit.measurement_system.density_units
medicine.diagnostic_test_signs.sign	medicine.diagnostic_sign.tests
organization.organization_committee_title.members_with_this_title	organization.organization_committee_membership.title
organization.organization_relationship.child	organization.organization.parent
tv.tv_producer_term.producer_type	tv.tv_producer_type.tv_producers_of_this_type
astronomy.galactic_interaction.interaction_type	astronomy.galactic_interaction_type.galaxy_s_interacting_this_way
broadcast.tv_affiliation_duration.station	broadcast.tv_station.affiliations
business.brand_slogan.slogan	business.advertising_slogan.brand
computer.programming_language.language_paradigms	computer.programming_language_paradigm.languages
cvg.computer_game_evaluation.content_descriptors	cvg.computer_game_content_descriptor.versions_with_this_descriptor
geology.rock_type.parent_rock_type	geology.rock_type.sub_types
government.legislative_committee_membership.member	government.politician.legislative_committees_served_on
internet.top_level_domain.registry	internet.top_level_domain_registry.domains
law.court.superior_courts	law.court.inferior_courts
people.deceased_person.cause_of_death	people.cause_of_death.people
amusement_parks.ride.manufacturer	amusement_parks.ride_manufacturer.rides
location.country.first_level_divisions	location.administrative_division.first_level_division_of
medicine.drug.brands	medicine.drug_brand.active_ingredients
people.measured_person.measurements	people.human_measurement.person
royalty.chivalric_rank_precedence.rank	royalty.chivalric_rank.order
engineering.channel_access_method.parent_method	engineering.channel_access_method.child_method
engineering.piston_engine.piston_configuration	engineering.piston_configuration.engines
measurement_unit.measurement_system.weight_units	measurement_unit.mass_unit.measurement_system
media_common.quotation.subjects	media_common.quotation_subject.quotations_about_this_subject
medicine.infectious_disease.transmission	medicine.transmission_route.infections_that_travel_this_way
olympics.olympic_event_competition.venue	olympics.olympic_venue.olympic_events_contested_here
rail.locomotive_class.used_by	rail.locomotive_class_operator_relationship.locomotive_class
cvg.cvg_platform_family.platforms	cvg.cvg_platform.platform_family
dataworld.information_source.attribution_template	dataworld.attribution_template.source
fictional_universe.fictional_universe.created_by	fictional_universe.fictional_universe_creator.fictional_universes_created
government.government_position_held.governmental_body	government.governmental_body.members
language.language_writing_system.child_writing_systems	language.language_writing_system.parent_writing_systems
measurement_unit.force_moment_unit.measurement_system	measurement_unit.measurement_system.force_moment_units
protected_sites.natural_or_cultural_site_designation.categories	protected_sites.site_listing_category.category_of
rail.steam_locomotive_class.fuel_type	rail.steam_locomotive_fuel_type.used_by
royalty.system_of_nobility.supercedes	royalty.system_of_nobility.superceded_by
sports.sports_team_roster.player	sports.pro_athlete.teams
tv.tv_crew_gig.episode	tv.tv_series_episode.other_crew
tv.tv_program_writer_relationship.writer	tv.tv_writer.tv_programs
award.hall_of_fame_induction_category.inductees	award.hall_of_fame_induction.category
book.school_or_movement.associated_authors	book.author.school_or_movement
comic_books.comic_book_issue.editor	comic_books.comic_book_editor.issues_edited
cvg.game_version.peripheral_classes_supported	computer.computer_peripheral_class.supporting_game_versions
fictional_universe.fictional_organization.parent_organization_in_fiction	fictional_universe.fictional_organization.sub_organization_in_fiction
symbols.coat_of_arms.mantling	symbols.heraldic_mantling.coat_of_arms
theater.play.composer	theater.theatrical_composer.plays_composed
cricket.cricket_team.test_stats	cricket.cricket_team_stats.test_team
cvg.game_version.regions	cvg.computer_game_region.versions_released_in_this_region
measurement_unit.absorbed_dose_rate_unit.measurement_system	measurement_unit.measurement_system.absorbed_dose_rate_units
military.force_strength.resource	military.military_resource.conflicts
radio.radio_program_episode.subjects	radio.radio_subject.episodes_with_this_subject
rail.locomotive_ownership.owner	rail.locomotive_owner.locomotives_owned
