tv.tv_network_duration.program	tv.tv_program
tv.tv_program_writer_relationship.start_date	type.datetime
zoos.animal_captivity.zoo	zoos.zoo
american_football.player_rushing_statistics.touchdown_on_longest_carry	type.boolean
architecture.occupancy.from	type.datetime
astronomy.meteoric_composition.meteorites	astronomy.meteorite
astronomy.telescope_type.higher_classification	astronomy.telescope_type
aviation.airline.icao_airline_designator	type.rawstring
award.competition_type.competitions_of_this_type	award.competition
biology.gene_ontology_group.narrower_term	type.text
business.asset_ownership.owned_asset	business.asset
business.company_name_change.start_date	type.datetime
comic_strips.comic_strip.date_of_last_strip	type.datetime
computer.programming_language_designer.languages_designed	computer.programming_language
digicams.digital_camera.optical_zoom	type.float
dining.restaurant_chef_association.to_date	type.datetime
education.educational_institution.school_magazines	education.school_magazine
education.educational_institution.total_enrollment	measurement_unit.dated_integer
engineering.battery_size.shape_format	engineering.battery_shape_format
event.disaster.fatalities	type.int
event.disaster.surviving_structures	event.disaster_affected_structure
fashion.clothing_size.article_of_clothing	fashion.garment
fictional_universe.fictional_universe.organizations	fictional_universe.fictional_organization
interests.interest.people_with_this_interest	people.person
location.statistical_region.gdp_current_ppp_per_capita	measurement_unit.dated_money_value
location.statistical_region.household_consumption_expenditure_as_percent_of_gdp	measurement_unit.dated_percentage
measurement_unit.measurement_system.volumetric_heat_capacity_units	measurement_unit.volumetric_heat_capacity_unit
medicine.drug_dosage_flavor.drugs_with_this_flavor	medicine.manufactured_drug_form
meteorology.cloud_classification.minimum_altitude	type.int
meteorology.tropical_cyclone_season.total_damages	measurement_unit.dated_money_value
military.armed_force.sub_division_of	military.armed_force
nytimes.topic.uri	type.enumeration
rail.steam_locomotive_wheel_configuration.locomotive_classes	rail.steam_locomotive_class
soccer.football_league_participation.to	soccer.football_league_season
tv.sequence_of_tv_episode_segments.segments	tv.tv_episode_segment
visual_art.artwork.artist	visual_art.visual_artist
astronomy.galactic_super_cluster.galaxy_clusters	astronomy.galactic_cluster
basketball.basketball_team_stats.assists	type.int
book.editorial_tenure.to	type.datetime
book.periodical_format_period.periodical	book.periodical
book.periodical_publication_date.additional_date_info	type.text
business.consumer_product.product_number	type.rawstring
cvg.computer_videogame.peripheral_classes_supported	computer.computer_peripheral_class
digicams.image_stabilization_type.digital_camera	digicams.digital_camera
distilled_spirits.infused_spirit.producer	distilled_spirits.spirit_blender
government.form_of_government.countries	location.country
language.language_writing_type.writing_systems	language.language_writing_system
location.metropolitan_area.anchor_city	location.metropolitan_area_anchor
location.statistical_region.imports_as_percent_of_gdp	measurement_unit.dated_percentage
location.statistical_region.minimum_wage	measurement_unit.recurring_money_value
measurement_unit.dimension.instruments	measurement_unit.measuring_instrument
measurement_unit.dimensions.height_meters	type.float
measurement_unit.money_value.currency	finance.currency
medicine.drug_formulation.dosage_form	medicine.drug_dosage_form
medicine.medical_trial.phase	medicine.medical_trial_phase
music.music_video_performance.performance_note	type.text
music.recording.artist	music.artist
organization.organization.headquarters	location.mailing_address
