music.synthesizer.brand	music.synthesizer
opera.opera_character.portrayed_by	opera.opera_character
projects.project.actual_cost	projects.project
spaceflight.rocket_engine.isp_vacuum	spaceflight.rocket_engine
sports.coaching_position.coaches	sports.coaching_position
sports.sports_award.award	sports.sports_award
transportation.road.major_junctions1	transportation.road
tv.tv_program.episode_running_time	tv.tv_program
tv.tv_program.regular_personal_appearances	tv.tv_program
american_football.football_game_score.team	american_football.football_game_score
american_football.player_passing_statistics.interceptions	american_football.player_passing_statistics
astronomy.dwarf_planet.star_system	astronomy.dwarf_planet
astronomy.galaxy.number_of_stars	astronomy.galaxy
astronomy.telescope_type.lower_telescope_classification	astronomy.telescope_type
aviation.airport_terminal.airport	aviation.airport_terminal
award.award_category.presenting_organization	award.award_category
basketball.basketball_player_stats.points	basketball.basketball_player_stats
basketball.basketball_player_stats.rebounds	basketball.basketball_player_stats
book.technical_report.number_in_series	book.technical_report
book.translation.translator	book.translation
chemistry.solubility.substances	chemistry.solubility
comedy.comedy_group.genres	comedy.comedy_group
computer.programming_language.parent_language	computer.programming_language
conferences.conference.venue	conferences.conference
fictional_universe.fictional_character.character_created_by	fictional_universe.fictional_character
film.film_costumer_designer.costume_design_for_film	film.film_costumer_designer
geography.mountain.first_ascenders	geography.mountain
government.government_agency.successor_agency	government.government_agency
location.country.official_language	location.country
location.location.gns_ufi	location.location
location.statistical_region.general_government_net_lending_borrowing	location.statistical_region
measurement_unit.dated_money_value.valid_date	measurement_unit.dated_money_value
measurement_unit.magnetic_field_strength_unit.strength_in_amperes_per_meter	measurement_unit.magnetic_field_strength_unit
meteorology.tropical_cyclone_season.major_storms	meteorology.tropical_cyclone_season
military.military_person.served_aboard	military.military_person
music.compositional_form.superforms	music.compositional_form
music.music_video_subject.subject_in_these_music_videos	music.music_video_subject
olympics.olympic_torch_relay.date	olympics.olympic_torch_relay
pipeline.review_flag.reason	pipeline.review_flag
protected_sites.protected_site.date_established	protected_sites.protected_site
royalty.chivalric_order_membership.presented_by	royalty.chivalric_order_membership
soccer.football_player_stats.total_goals	soccer.football_player_stats
sports.sports_award.season	sports.sports_award
symbols.heraldic_variation_of_the_field_color.tincture	symbols.heraldic_variation_of_the_field_color
theater.musical_soundtrack.play	theater.musical_soundtrack
theater.theater_production_venue_relationship.start_date	theater.theater_production_venue_relationship
transportation.bridge.total_length	transportation.bridge
tv.tv_personality.tv_regular_appearances	tv.tv_personality
american_football.game_passing_statistics.attempts	american_football.game_passing_statistics
amusement_parks.ride.area	amusement_parks.ride
astronomy.galaxy.galactic_group	astronomy.galaxy
astronomy.star_system.stars	astronomy.star_system
automotive.model_year.warranty	automotive.model_year
award.award_nomination.nominated_for	award.award_nomination
award.ranked_list.ranked_by	award.ranked_list
